id,node_id,ofc_cable_id,position_km,created_at,updated_at
11bf638d-449d-4ce5-adcf-23df509f0659,bfc6cbf5-dfad-4f70-8b8d-86e63dd45b39,b62ee1c8-9372-4018-9033-83427ac9ce35,0.900,2026-01-26 15:47:59.450668+00,2026-01-26 15:47:59.450668+00
22cc7734-026c-41c3-bb0c-1977cc84ac64,985d6abe-3cba-4ad9-a4a3-d99ddd600fad,cd17337a-74a0-4e32-bfd0-6d7ceec942f7,0.420,2026-01-22 16:58:43.199822+00,2026-01-22 16:58:43.199822+00
337b2a5c-6780-4164-9362-32f356f11dce,a0cad95f-0452-4ef4-9b29-d38998a6195b,90a01e7e-e792-4601-bf93-69ae298d1376,0.490,2026-01-19 15:09:38.473811+00,2026-01-19 15:09:38.473811+00
35364217-e223-439a-99f8-c8805bb4ecdd,a0cad95f-0452-4ef4-9b29-d38998a6195b,a5b5911e-fa5b-4d07-8fa3-0e9e255fd07b,0.490,2026-01-12 11:41:13.162775+00,2026-01-12 11:41:13.162775+00
4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,a0cad95f-0452-4ef4-9b29-d38998a6195b,0e748e06-0d6d-4627-95aa-2d82c15405ea,5.200,2026-01-15 11:55:24.35029+00,2026-01-15 11:55:24.35029+00
70fe9eb9-2cdf-44f8-8495-baf4c41c715f,bfc6cbf5-dfad-4f70-8b8d-86e63dd45b39,b9f77dd7-1eea-4d57-9d82-1e1997e30cf1,0.900,2026-01-26 15:48:52.047008+00,2026-01-26 15:48:52.047008+00
7d8cf63c-0268-465e-ad9c-00ad570e85be,985d6abe-3cba-4ad9-a4a3-d99ddd600fad,0e748e06-0d6d-4627-95aa-2d82c15405ea,8.460,2026-01-22 16:49:50.712797+00,2026-01-22 16:49:50.712797+00
b8beb98f-bf23-481f-b88d-5efcfa908e2e,bfc6cbf5-dfad-4f70-8b8d-86e63dd45b39,0e748e06-0d6d-4627-95aa-2d82c15405ea,0.900,2026-01-26 15:46:20.520378+00,2026-01-26 15:46:20.520378+00
bc6e8311-a917-4d3f-a3c0-475481483c6d,a0cad95f-0452-4ef4-9b29-d38998a6195b,35fc6ed0-7d02-4e03-b4d3-2178e79fc5c7,5.200,2026-01-12 12:00:49.639314+00,2026-01-12 12:00:49.639314+00
df941607-d4ed-481f-abd5-b2e66a566833,d7720235-52b0-4c37-96dc-e572940b6215,2cd7d482-0e4c-4256-97ca-e2873f4bd5bd,2.650,2025-12-30 09:05:22.726805+00,2025-12-30 09:05:22.726805+00
f37c0687-fb8e-4e2e-9298-269d44abb460,d7720235-52b0-4c37-96dc-e572940b6215,b62ee1c8-9372-4018-9033-83427ac9ce35,0.050,2025-12-30 09:06:53.234882+00,2025-12-30 09:06:53.234882+00