Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
2004067101017,Harinavi -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,BTS 4G-SUBHASHGRAM PETUA,BTS 4G,-,-,View,Add
2004067101017,Harinavi -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,BTS 4G-SONARPUR SOUTH,BTS 4G,-,-,View,Add
2004067101017,Harinavi -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,BTS 4G-NARENDRAPUR-III,BTS 4G,-,-,View,Add
2004067101017,Harinavi -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,BTS 4G-MALLICKPUR II,BTS 4G,-,-,View,Add
2004067101017,Harinavi -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,HARINAVI_10.123.138.193_GNE/5.7==Harinavi -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,-,-,View,Add
2004067101018,Harinavi -B3(CAT2) /1,ETH-1-1-18,1000 Base-TX,BTS 4G-SUBHASGRAM,BTS 4G,-,-,View,Add
2004067101018,Harinavi -B3(CAT2) /1,ETH-1-1-18,1000 Base-TX,BTS 4G-MOLLIKPUR SITALA MANDIR,BTS 4G,-,-,View,Add
2004067101018,Harinavi -B3(CAT2) /1,ETH-1-1-18,1000 Base-TX,BTS 4G-SUBHASHGRAM KODALIA,BTS 4G,-,-,View,Add
2004067101018,Harinavi -B3(CAT2) /1,ETH-1-1-18,1000 Base-TX,HARINAVI_10.123.138.193_GNE/5.8==Harinavi -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,-,-,View,Add
2004067101019,Harinavi -B3(CAT2) /1,ETH-1-1-19,1000 Base-TX,BTS 4G-SUBHASGRAM PANCHGHARA,BTS 4G,-,-,View,Add
2004067101019,Harinavi -B3(CAT2) /1,ETH-1-1-19,1000 Base-TX,BTS 4G-Ghoshpara Darir Road,BTS 4G,-,-,View,Add
2004067101019,Harinavi -B3(CAT2) /1,ETH-1-1-19,1000 Base-TX,BTS 4G-SUBHASHGRAM RAILGATE,BTS 4G,-,-,View,Add
2004067101019,Harinavi -B3(CAT2) /1,ETH-1-1-19,1000 Base-TX,HARINAVI_10.123.138.193_GNE/5.9==Harinavi -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link,-,-,View,Add
2004067101020,Harinavi -B3(CAT2) /1,ETH-1-1-20,1000 Base-TX,HARINAVI_10.123.138.193_GNE/5.10==Harinavi -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link,-,-,View,Add
2004067101013,Harinavi -B3(CAT2) /1,ETH-1-1-13,10G,Harinavi -B3(CAT2) /1/ETH-1-1-13 ==Jadavpore -B4(CAT2) /1/ETH-1-1-6,MAAN TL,-,-,View,Add
2004067101014,Harinavi -B3(CAT2) /1,ETH-1-1-14,10G,Baruipur -B3(CAT2) /1/ETH-1-1-14 ==Harinavi -B3(CAT2) /1/ETH-1-1-14,MAAN TL,-,-,View,Add
2004067101015,Harinavi -B3(CAT2) /1,ETH-1-1-15,10G,Harinavi -B3(CAT2) /1/ETH-1-1-15 ==Boral ROU-A3(CAT2)/1 /ETH-1-1-13,MAAN TL,-,-,View,Add
2004067101015,Harinavi -B3(CAT2) /1,ETH-1-1-15,10G,BTS 4G-Rajpur Nandannagar,BTS 4G,-,-,View,Add
2004067101015,Harinavi -B3(CAT2) /1,ETH-1-1-15,10G,BTS 4G-RAJPUR CHANDIBARI,BTS 4G,-,-,View,Add
2004067101015,Harinavi -B3(CAT2) /1,ETH-1-1-15,10G,BTS 4G-Rajpur Nandannagar,BTS 4G,-,-,View,Add
2004067101015,Harinavi -B3(CAT2) /1,ETH-1-1-15,10G,BTS 4G-RAJPUR CHANDIBARI,BTS 4G,-,-,View,Add
2004067101016,Harinavi -B3(CAT2) /1,ETH-1-1-16,10G,Sonarpur -A4(CAT2) /1 /ETH-1-1-13 ==Harinavi -B3(CAT2) /1/ETH-1-1-16,MAAN TL,-,-,View,Add
2004067101001,Harinavi -B3(CAT2) /1,ETH-1-1-1,1G,HARINAVI_10.123.138.193_GNE/6.2==Harinavi -B3(CAT2) /1/ETH-1-1-1,CPAN MAAN Link,-,-,View,Add
2004067101010,Harinavi -B3(CAT2) /1,ETH-1-1-10,1G,BTS 4G-NOTUN PALLY,BTS 4G,-,-,View,Add
2004067101010,Harinavi -B3(CAT2) /1,ETH-1-1-10,1G,BTS 4G-SUBHAS GRAM BANK PLOT,BTS 4G,-,-,View,Add
2004067101011,Harinavi -B3(CAT2) /1,ETH-1-1-11,1G,BTS 4G-HARINAVI,BTS 4G,-,-,View,Add
2004067101011,Harinavi -B3(CAT2) /1,ETH-1-1-11,1G,BTS 4G-HARINAVI,BTS 4G,-,-,View,Add
2004067101012,Harinavi -B3(CAT2) /1,ETH-1-1-12,1G,-,Unbound,-,-,View,Add
2004067101002,Harinavi -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-MAHINAGAR,BTS 4G,-,-,View,Add
2004067101002,Harinavi -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-KODALIA,BTS 4G,-,-,View,Add
2004067101002,Harinavi -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-GOVINDAPUR,BTS 4G,-,-,View,Add
2004067101002,Harinavi -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-South Gobindapur,BTS 4G,-,-,View,Add
2004067101002,Harinavi -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-BADE HOOGHLY,BTS 4G,-,-,View,Add
2004067101003,Harinavi -B3(CAT2) /1,ETH-1-1-3,1G,HARINAVI_10.123.138.193_GNE/6.3==Harinavi -B3(CAT2) /1/ETH-1-1-3,CPAN MAAN Link,-,-,View,Add
2004067101004,Harinavi -B3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-MAHINAGAR,BTS 4G,-,-,View,Add
2004067101004,Harinavi -B3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-KODALIA,BTS 4G,-,-,View,Add
2004067101004,Harinavi -B3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-GOVINDAPUR,BTS 4G,-,-,View,Add
2004067101004,Harinavi -B3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-South Gobindapur,BTS 4G,-,-,View,Add
2004067101004,Harinavi -B3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-BADE HOOGHLY,BTS 4G,-,-,View,Add
2004067101005,Harinavi -B3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-SARMASTAPUR,BTS 4G,-,-,View,Add
2004067101005,Harinavi -B3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-CHOWHATI POLEHAT,BTS 4G,-,-,View,Add
2004067101005,Harinavi -B3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-MALANCHA_CHANDPUR,BTS 4G,-,-,View,Add
2004067101005,Harinavi -B3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-BARUIPUR RAIL CROSSING,BTS 4G,-,-,View,Add
2004067101006,Harinavi -B3(CAT2) /1,ETH-1-1-6,1G,BTS 4G-SARMASTAPUR,BTS 4G,-,-,View,Add
2004067101006,Harinavi -B3(CAT2) /1,ETH-1-1-6,1G,BTS 4G-CHOWHATI POLEHAT,BTS 4G,-,-,View,Add
2004067101006,Harinavi -B3(CAT2) /1,ETH-1-1-6,1G,BTS 4G-MALANCHA_CHANDPUR,BTS 4G,-,-,View,Add
2004067101007,Harinavi -B3(CAT2) /1,ETH-1-1-7,1G,BTS 4G-RAMCHANDRAPUR,BTS 4G,-,-,View,Add
2004067101007,Harinavi -B3(CAT2) /1,ETH-1-1-7,1G,BTS 4G-GARIA MAIN ROAD,BTS 4G,-,-,View,Add
2004067101007,Harinavi -B3(CAT2) /1,ETH-1-1-7,1G,BTS 4G-JAGATDAL-2,BTS 4G,-,-,View,Add
2004067101008,Harinavi -B3(CAT2) /1,ETH-1-1-8,1G,BTS 4G-SHALIMAR CHEMICAL,BTS 4G,-,-,View,Add
2004067101008,Harinavi -B3(CAT2) /1,ETH-1-1-8,1G,BTS 4G-Narendrapur BSC,BTS 4G,-,-,View,Add
2004067101008,Harinavi -B3(CAT2) /1,ETH-1-1-8,1G,BTS 4G-NARENDRAPUR,BTS 4G,-,-,View,Add
2004067101008,Harinavi -B3(CAT2) /1,ETH-1-1-8,1G,BTS 4G-Narendrapur,BTS 4G,-,-,View,Add
2004067101009,Harinavi -B3(CAT2) /1,ETH-1-1-9,1G,BTS 4G-RAJPUR SARKAR PARA,BTS 4G,-,-,View,Add
2004067101009,Harinavi -B3(CAT2) /1,ETH-1-1-9,1G,BTS 4G-BARENDRA PARA,BTS 4G,-,-,View,Add