SL NO,TRANS AREA,MAANS,TOTAL INTERFACES,100G PORTS,10G PORTS,1G PORTS
"TOT AL",C1,B3,B4,A3,A4,"TOT AL","US ED","SPA RE","% US ED","TOT AL","US ED","SPA RE","% US ED","TOT AL","US ED","SPA RE","% US ED","TOT AL","US ED","RESE RVED","SPA RE","% US ED"
1,DE/TM/CENTRAL,17,3,2,3,8,3,434,195,239,44.9%,16,12,4,75%,142,70,72,49.3%,276,94,36,146
2,DE/TM/HOOGHLY,10,0,1,1,7,1,158,122,36,77.2%,2,2,0,100%,30,28,2,93.3%,126,62,52,12
3,DE/TM/HOWRAH,20,1,2,1,12,4,354,223,131,63%,6,4,2,66.7%,82,57,25,69.5%,266,102,72,92
4,DE/TM/NORTH-I,4,1,2,0,0,1,114,77,37,67.5%,4,4,0,100%,42,12,30,28.6%,68,19,46,3
5,DE/TM/NORTH-II,14,0,2,1,11,0,216,134,82,62%,2,2,0,100%,40,35,5,87.5%,174,45,72,57
6,DE/TM/PANIHATI,6,0,2,1,2,1,104,85,19,81.7%,2,2,0,100%,24,21,3,87.5%,78,44,43,-9
7,DE/TM/SALTLAKE,6,1,1,2,2,0,172,89,83,51.7%,8,8,0,100%,60,19,41,31.7%,104,47,26,31
8,DE/TM/SOUTH-I,9,0,2,2,4,1,162,95,67,58.6%,4,4,0,100%,38,27,11,71.1%,120,43,34,43
9,DE/TM/SOUTH-II,14,1,3,1,3,6,272,181,91,66.5%,6,6,0,100%,72,42,30,58.3%,194,76,85,33
#,Total,100,7,17,12,49,17,1986,1201,785,60.5%,50,44,6,88%,530,311,219,58.7%,1406,532,466,408